edge_id,from_node,to_node,amount,asset,timestamp,evidence_type,tx_hash,utr,block_number
CP-CYBER-2026-002-E001,VICTIM_8801,HDFC_XXXXXXXX2245,118000.00,INR,2026-08-19T09:12:00+05:30,confirmed_bank,,9411082030091,
CP-CYBER-2026-002-E002,VICTIM_8802,PNB_XXXXXXXX7710,96500.00,INR,2026-08-19T09:19:00+05:30,confirmed_bank,,9411182030191,
CP-CYBER-2026-002-E003,VICTIM_8803,SBI_XXXXXXXX3391,242000.00,INR,2026-08-19T09:26:00+05:30,confirmed_bank,,9411282030291,
CP-CYBER-2026-002-E004,VICTIM_8804,ICICI_XXXXXXXX5502,87000.00,INR,2026-08-19T09:33:00+05:30,confirmed_bank,,9411382030391,
CP-CYBER-2026-002-E005,VICTIM_8805,AXIS_XXXXXXXX8834,315000.00,INR,2026-08-19T09:40:00+05:30,confirmed_bank,,9411482030491,
CP-CYBER-2026-002-E006,VICTIM_8806,KOTAK_XXXXXXXX1188,84500.00,INR,2026-08-19T09:47:00+05:30,confirmed_bank,,9411582030591,
CP-CYBER-2026-002-E007,HDFC_XXXXXXXX2245,COLLECT_UPI_4471,116230.00,INR,2026-08-19T09:54:00+05:30,confirmed_bank,,772004471003,
CP-CYBER-2026-002-E008,PNB_XXXXXXXX7710,COLLECT_UPI_4472,95052.50,INR,2026-08-19T09:58:00+05:30,confirmed_bank,,772014471103,
CP-CYBER-2026-002-E009,SBI_XXXXXXXX3391,COLLECT_UPI_4471,238370.00,INR,2026-08-19T10:02:00+05:30,confirmed_bank,,772024471203,
CP-CYBER-2026-002-E010,ICICI_XXXXXXXX5502,COLLECT_UPI_4472,85695.00,INR,2026-08-19T10:06:00+05:30,confirmed_bank,,772034471303,
CP-CYBER-2026-002-E011,AXIS_XXXXXXXX8834,COLLECT_UPI_4471,310275.00,INR,2026-08-19T10:10:00+05:30,confirmed_bank,,772044471403,
CP-CYBER-2026-002-E012,KOTAK_XXXXXXXX1188,COLLECT_UPI_4472,83232.50,INR,2026-08-19T10:14:00+05:30,confirmed_bank,,772054471503,
CP-CYBER-2026-002-E013,COLLECT_UPI_4471,P2P_TRADER_INR_09,493000.00,INR,2026-08-19T10:26:00+05:30,inferred_correlation,0x9e78cef66b2d18e3cc0d3cbbbddaf81fc65c3f2f7c85fe70d8a7714ac9d81199,,
CP-CYBER-2026-002-E014,COLLECT_UPI_4472,P2P_TRADER_INR_09,429000.00,INR,2026-08-19T10:31:00+05:30,inferred_correlation,0x5f10c52a4aaf781fde55869b51b6760aab1f7e90aa87b0426825f8a73f60d0d7,,
CP-CYBER-2026-002-E015,P2P_TRADER_INR_09,T3sPV66vTp1oNfCHVQPNEmy87qEF3NJ31,10200.00,USDT,2026-08-19T10:48:00+05:30,confirmed_onchain,0xea18f1ae95c95c345cb911559048bff89d3470d40c793c8a42e973540356937c,,64112009
CP-CYBER-2026-002-E016,T3sPV66vTp1oNfCHVQPNEmy87qEF3NJ31,T6jAmwBh8pHLwUi8sqdX84MsN4ADNdjvs,600.00,USDT,2026-08-19T10:50:00+05:30,confirmed_onchain,0xded4b7ceb3e7cea242ae0bdf2b40077d558cf20e7a19038dd25e13efc11d8240,,64112018
CP-CYBER-2026-002-E017,T3sPV66vTp1oNfCHVQPNEmy87qEF3NJ31,TN9CkNnrYgykxqJ3Aa6Fy1c21mL1S8qnK,2400.00,USDT,2026-08-19T10:51:00+05:30,confirmed_onchain,0x8ef60e4fe2ffb058e1ee397aa857736a31e7dd60adc5a2611d9c5c6cd3b3f68b,,64112020
CP-CYBER-2026-002-E018,T3sPV66vTp1oNfCHVQPNEmy87qEF3NJ31,TL9P6rHB51rp48mWPncrnQxHmFAwPJ6ok,1900.00,USDT,2026-08-19T10:53:00+05:30,confirmed_onchain,0xa201c31e2d5977f69b7c98c40d58105d57c7f9c0ebb56fd37631766839cfb24a,,64112021
CP-CYBER-2026-002-E019,T3sPV66vTp1oNfCHVQPNEmy87qEF3NJ31,TRQAJXzxgjgdpwXC7RL2wpbYQS2iFWc7s,1750.00,USDT,2026-08-19T10:55:00+05:30,confirmed_onchain,0xec6bfbfc240eba16ac5aad7017374899505b891ad3b4d9c5d0bcd8b61a0e18b8,,64112022
CP-CYBER-2026-002-E020,T3sPV66vTp1oNfCHVQPNEmy87qEF3NJ31,TjEdEjGgk4oWSdMkqzQnL43f1xtS3ByXd,1500.00,USDT,2026-08-19T10:57:00+05:30,confirmed_onchain,0x25c54261820d9b48ba107249009820d2152fda2df47e538419f2c983594cbbe8,,64112023
CP-CYBER-2026-002-E021,T3sPV66vTp1oNfCHVQPNEmy87qEF3NJ31,T9TyoeGnrMMEoRNV7sVXCv2PN2BbWrUfV,1200.00,USDT,2026-08-19T10:59:00+05:30,confirmed_onchain,0x12949208cf441e45c1543f4045f7e9c2977a93325e9e7456235d05eb95022600,,64112024
CP-CYBER-2026-002-E022,T3sPV66vTp1oNfCHVQPNEmy87qEF3NJ31,TvYiy1FB6zJny3sx751R5YHvkofpUkV8X,900.00,USDT,2026-08-19T11:01:00+05:30,confirmed_onchain,0xb2d83425f52dc14999d80a8945d651bccb550b531c928d363d4adf58b123707b,,64112025
CP-CYBER-2026-002-E023,T3sPV66vTp1oNfCHVQPNEmy87qEF3NJ31,TBeP1F87G48uBaSwjTz82k4gMzDEavMDr,550.00,USDT,2026-08-19T11:03:00+05:30,confirmed_onchain,0x12152e042c4f3eb42eac9aab289c784c2153c9d3d7fe350973d202973ff3f2c3,,64112026
CP-CYBER-2026-002-E024,TN9CkNnrYgykxqJ3Aa6Fy1c21mL1S8qnK,T6jAmwBh8pHLwUi8sqdX84MsN4ADNdjvs,2400.00,USDT,2026-08-19T11:20:00+05:30,confirmed_onchain,0xf52b6ec2f15cab0fb081ef618de7f4a5e848b3063e24fddf4131ae714df014ca,,64112071
CP-CYBER-2026-002-E025,TL9P6rHB51rp48mWPncrnQxHmFAwPJ6ok,T6jAmwBh8pHLwUi8sqdX84MsN4ADNdjvs,700.00,USDT,2026-08-19T11:25:00+05:30,confirmed_onchain,0xefc8f0bc8ebc53eaf36374c9d63e6d4c6685ddfe45e9ebda69923af9c08d6cb9,,64112078
CP-CYBER-2026-002-E026,TRQAJXzxgjgdpwXC7RL2wpbYQS2iFWc7s,TGFtyKPmmyT7RUdHNQrgP1FSKiH3666rx,1750.00,USDT,2026-08-19T11:32:00+05:30,confirmed_onchain,0x14904a380df05800fb80bbafcf7740720df3aaa0257257c446359b6f98284ef5,,64112090
CP-CYBER-2026-002-E027,TGFtyKPmmyT7RUdHNQrgP1FSKiH3666rx,0x1cce9748be7dbf2c5b74b9e001f2b739d4b600e3,1730.00,USDT,2026-08-19T11:46:00+05:30,confirmed_onchain,0xaa5ee85341cd0e305ec653967b813d01072efd0720dde18b742dc14e2aa6979d,,19880411
CP-CYBER-2026-002-E028,0x1cce9748be7dbf2c5b74b9e001f2b739d4b600e3,0x025c999ae759539c349ab924754efe4bb2f0ac92,1730.00,USDT,2026-08-19T12:00:00+05:30,confirmed_onchain,0x5c0747d6dd39c4c893e453025d152cda14b754dddc45f1843fea986f7f9f9c15,,19880520
CP-CYBER-2026-002-E029,TjEdEjGgk4oWSdMkqzQnL43f1xtS3ByXd,TVccFKtPgfDgqAi2r1G3ANsL36kqtrCcV,1500.00,USDT,2026-08-19T11:39:00+05:30,confirmed_onchain,0xbd91be4f2ef974cb558e76c05931be064a183e8290ec6005569a409dbebf8b43,,64112101
CP-CYBER-2026-002-E030,T9TyoeGnrMMEoRNV7sVXCv2PN2BbWrUfV,TVccFKtPgfDgqAi2r1G3ANsL36kqtrCcV,1200.00,USDT,2026-08-19T11:43:00+05:30,confirmed_onchain,0x047a407f7069b09367e69404dfce7f2ffe6deacca363eee1649d73756b193a9d,,64112108
CP-CYBER-2026-002-E031,TvYiy1FB6zJny3sx751R5YHvkofpUkV8X,TAxdAuVGG3ZqkcmN4Tx3Z1G4ewYrPzRsi,900.00,USDT,2026-08-19T12:08:00+05:30,confirmed_onchain,0x0b8c51c2c6b6979e69d631367354bb78118e0b11e3db2f596a9867e5b419beb5,,64112140
CP-CYBER-2026-002-E032,TBeP1F87G48uBaSwjTz82k4gMzDEavMDr,TTchVKG1WmuyEF4WHao7iVVzEG8Lir9a8,550.00,USDT,2026-08-19T12:14:00+05:30,confirmed_onchain,0x1570d55068e9db157e00bdf47cae0a665e64f2364a9848a6c977aedf7c184f36,,64112151
CP-CYBER-2026-002-E033,TAxdAuVGG3ZqkcmN4Tx3Z1G4ewYrPzRsi,TwAGxyNUSKcGgoDEezHec1UkJF6TgujDA,620.00,USDT,2026-08-19T12:37:00+05:30,confirmed_onchain,0x8492425592a0baa21edd79826d500a38a5b28cc3bb3d287ed0b93a94f456693e,,64112206
CP-CYBER-2026-002-E034,TTchVKG1WmuyEF4WHao7iVVzEG8Lir9a8,Tg4KehXWRurQX9PrETKQpjt7n7QB1hq7K,380.00,USDT,2026-08-19T12:46:00+05:30,confirmed_onchain,0x3fd566d58a8e51f64475ad127caffef743c968bb070756e9850287e54d3ab83a,,64112231
CP-CYBER-2026-002-E035,TwAGxyNUSKcGgoDEezHec1UkJF6TgujDA,T6jAmwBh8pHLwUi8sqdX84MsN4ADNdjvs,620.00,USDT,2026-08-19T13:08:00+05:30,confirmed_onchain,0x9fd939bce7293ad995bae58849561493a7801c9bfda5ff65b531c69004bb40be,,64112290
