edge_id,from_node,to_node,amount,asset,timestamp,evidence_type,tx_hash,utr,block_number
E01,VICTIM_4471,SBI_XXXXXXXX8891,470000.00,INR,2026-09-08T10:31:04+05:30,confirmed_bank,,420192830192,
E02,SBI_XXXXXXXX8891,0x3f1a7d92c04e8b56af10d3e7b829c45d6e0a71bc,470000.00,INR,2026-09-08T10:31:17+05:30,inferred_correlation,,420192830192,
E03,0x3f1a7d92c04e8b56af10d3e7b829c45d6e0a71bc,0xa7f39c1d8e4b2a5f7c3d9e0a1b8c6d4e5f2a67e9,5200.00,USDT,2026-09-08T10:32:02+05:30,confirmed_onchain,0xb8e067a8a09abeee82876fffc79315b580a4ddba010c0c86184e660efb7b9e1f,,19204512
E04,0xa7f39c1d8e4b2a5f7c3d9e0a1b8c6d4e5f2a67e9,0x8589f2c47b1d0a63e95482f7ca1b3d6e0f4a0b6f,1500.00,USDT,2026-09-08T10:35:02+05:30,confirmed_onchain,0xd76f7bf208573409b06989abb188603cfb4cc370579abae618d7f48a0d128cc0,,19204527
E05,0xa7f39c1d8e4b2a5f7c3d9e0a1b8c6d4e5f2a67e9,0x9c04a7e3b21d5f86c0a94e7d2b83f150c6ead21e,1200.00,USDT,2026-09-08T10:35:20+05:30,confirmed_onchain,0x9f749aef70b779b9850e404d3841461068486c3670b55568ad1f5bbdaa252b43,,19204529
E06,0xa7f39c1d8e4b2a5f7c3d9e0a1b8c6d4e5f2a67e9,0x2d81b6f09c3a7e54d21b8f60a93c7e15d40b7f43,1800.00,USDT,2026-09-08T10:35:44+05:30,confirmed_onchain,0xd928891c3545329267d969e80f66c4609eebd538330a180403e762a824b93bed,,19204531
E07,0xa7f39c1d8e4b2a5f7c3d9e0a1b8c6d4e5f2a67e9,0x5e77c1a03d9b62f48e07c5a1b3d92f60e84ca908,400.00,USDT,2026-09-08T10:36:10+05:30,confirmed_onchain,0xde135c6aff6d5eb54c5123441b45720090cd1211edf03e65d94faea0115879ff,,19204534
E08,0xa7f39c1d8e4b2a5f7c3d9e0a1b8c6d4e5f2a67e9,0x1b93d5f27a08c6e41d3b90f52a7c68e04b1d4c67,300.00,USDT,2026-09-08T10:36:33+05:30,confirmed_onchain,0xc0dbdcda9d91431c816977e2c402115d453c964dfe739ce704a96d035ee741db,,19204536
E09,0x9c04a7e3b21d5f86c0a94e7d2b83f150c6ead21e,0x7a2fe80c14d3b96a05e72f18c4d60b39a7e2b115,300.00,USDT,2026-09-08T10:38:02+05:30,confirmed_onchain,0x323342b64e5e2f16059e64119a1387b55d9af9e7f1c30087d69a3f16c7fb21ae,,19204543
E10,0x9c04a7e3b21d5f86c0a94e7d2b83f150c6ead21e,0x4c60a2d19f38b75e0c2a6d491f83b70e5c2ae882,250.00,USDT,2026-09-08T10:38:20+05:30,confirmed_onchain,0x7efdb9ede17f3593e55fb5e43476363c7bf83d45c1c1bd076c0f08465eb1f4f9,,19204545
E11,0x9c04a7e3b21d5f86c0a94e7d2b83f150c6ead21e,0xe38b17d02c95a4f61b83d07e29c5a4f18b6039da,200.00,USDT,2026-09-08T10:38:41+05:30,confirmed_onchain,0x20ac89512b4716720f3c5097411248f7c639b58ebbd357fd6d70f233d1426bf7,,19204547
E12,0x9c04a7e3b21d5f86c0a94e7d2b83f150c6ead21e,0xbb17d4a09e26c35f81b0d7a94e13c68f05b2c530,250.00,USDT,2026-09-08T10:39:05+05:30,confirmed_onchain,0x87f5fc2eb8acbd3519e92cc459af8776d818643ff7946f934d2f1be209b8a226,,19204549
E13,0x9c04a7e3b21d5f86c0a94e7d2b83f150c6ead21e,0x8589f2c47b1d0a63e95482f7ca1b3d6e0f4a0b6f,100.00,USDT,2026-09-08T10:39:28+05:30,confirmed_onchain,0x4eaa0e7922bed33289ed960b843c4f2df8c0a16c0939951d89dd36a809464457,,19204551
E14,0x9c04a7e3b21d5f86c0a94e7d2b83f150c6ead21e,0x1b93d5f27a08c6e41d3b90f52a7c68e04b1d4c67,100.00,USDT,2026-09-08T10:39:50+05:30,confirmed_onchain,0x9bbc29aa744ecd323c24310450206f9712bcdcbf3d2a9f7aa238270b27405e0a,,19204553
E15,0x2d81b6f09c3a7e54d21b8f60a93c7e15d40b7f43,0xd90f42a17c58e03b96d1f47a20c85e39b7f481ab,2000.00,USDT,2026-09-08T10:41:12+05:30,confirmed_onchain,0x2dbe01e08c579517e4e92d0f33b5af53474a7561d617918dae453fb6aa71e73c,,19204560
E16,0x5e77c1a03d9b62f48e07c5a1b3d92f60e84ca908,0xbb17d4a09e26c35f81b0d7a94e13c68f05b2c530,400.00,USDT,2026-09-08T10:42:03+05:30,confirmed_onchain,0x8a044776d5e04567e7165a6e691c0efeee22d8b7a114a1cd0f408cd1746bda04,,19204565
E17,0x7a2fe80c14d3b96a05e72f18c4d60b39a7e2b115,0x8589f2c47b1d0a63e95482f7ca1b3d6e0f4a0b6f,300.00,USDT,2026-09-08T10:44:19+05:30,confirmed_onchain,0x009613245a75fa4670b2ae1bdf050a0d9c016181b91c0a10b649016e7794aa4f,,19204576
