edge_id,from_node,to_node,amount,asset,timestamp,evidence_type,tx_hash,utr,block_number
CP-CYBER-2026-003-E001,VICTIM_5511,BOB_XXXXXXXX4417,640000.00,INR,2026-07-03T14:26:00+05:30,confirmed_bank,,553001177042,
CP-CYBER-2026-003-E002,VICTIM_5512,CANARA_XXXXXXXX9903,310000.00,INR,2026-07-03T14:37:00+05:30,confirmed_bank,,553011177142,
CP-CYBER-2026-003-E003,VICTIM_5513,IDFC_XXXXXXXX2276,175000.00,INR,2026-07-03T14:48:00+05:30,confirmed_bank,,553021177242,
CP-CYBER-2026-003-E004,VICTIM_5514,BOB_XXXXXXXX4417,92000.00,INR,2026-07-03T14:59:00+05:30,confirmed_bank,,553031177342,
CP-CYBER-2026-003-E005,BOB_XXXXXXXX4417,0xb74c3c347903a80c770f36e9b439ce59c64d4c2a,950000.00,INR,2026-07-03T15:24:00+05:30,inferred_correlation,0x63fa8046e3b2ddb1ff56faadea868fc10d384c5ff95e13aaf3f1e07d90dc4e81,,
CP-CYBER-2026-003-E006,CANARA_XXXXXXXX9903,0xb74c3c347903a80c770f36e9b439ce59c64d4c2a,175000.00,INR,2026-07-03T15:30:00+05:30,inferred_correlation,0xe9b6059e4a4a849d14a0b8f3a671aaa6ba7be82e9fc4a490bbe1bb31e313d980,,
CP-CYBER-2026-003-E007,IDFC_XXXXXXXX2276,0xb74c3c347903a80c770f36e9b439ce59c64d4c2a,92000.00,INR,2026-07-03T15:36:00+05:30,inferred_correlation,0x405fe03d29220b471c6681eb004599151f399b9032063a215354fda9609cfaa5,,
CP-CYBER-2026-003-E008,0xb74c3c347903a80c770f36e9b439ce59c64d4c2a,0xfc560e2e03603e6ec608bafe2de1f2f636221c44,4.42,ETH,2026-07-03T15:50:00+05:30,confirmed_onchain,0x1f31ad79d38802bd62879afd92cc4b656eb8af4a450ffe765410a75bb5e7deb5,,20114880
CP-CYBER-2026-003-E009,0xb74c3c347903a80c770f36e9b439ce59c64d4c2a,0xfc560e2e03603e6ec608bafe2de1f2f636221c44,9100.00,USDT,2026-07-03T15:54:00+05:30,confirmed_onchain,0x483721a5f23507b4cad6af956bc7e039e93341fb1a13b7a72b775bd4aea8c901,,20114902
CP-CYBER-2026-003-E010,0xfc560e2e03603e6ec608bafe2de1f2f636221c44,0x8c27921fa4ae2dccf2d40e426bad900b4f037da2,700.00,USDT,2026-07-03T15:56:00+05:30,confirmed_onchain,0x8bc74469a8b544daa531de02cd2bbcdcc36f476b507d0904885c2134a70a785c,,20114925
CP-CYBER-2026-003-E011,0xfc560e2e03603e6ec608bafe2de1f2f636221c44,0xa48646da1dc281e33a31a816acaea0f5f41b2d72,3200.00,USDT,2026-07-03T15:57:00+05:30,confirmed_onchain,0x1539a90929af3f0e09ae559d332ec0c5e1e61d4db0276f93078747a3b4bc31f6,,20114930
